country_code	reg_code	name	include_code	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
246	1	Uusimaa	2	70.9	71.3	72.1	72.3	73.2	73.3	73.5	73.9	74	74.3	74.3	75	75.1	75.8	75.8	75.9	76.2	76.2	77.2	77.2	77.1	77.8	78.1	78.6	78.9	79	79.1	79.3	79.6	79.7	79.2	79.5	79.2	79.6	80.5	80.3
246	2	Southwest Finland	2	71.8	72.1	73	72.8	73.2	72.9	74.1	73.9	74.3	73.9	74.3	74.6	75.6	76.1	76.2	75.5	76.1	76.6	77	76.8	76.8	77.7	78.2	78.1	78.9	79	78.7	78.9	79.9	79.3	80.1	79.5	79.1	79.4	79.7	80.1
246	4	Satakunta	2	72	72	72.2	72.8	73	72.9	72.7	74.3	73.9	73.9	75	74.7	75.3	75.3	75.3	75.4	75.9	75.6	76.3	76.2	76.5	76.7	77.3	77.2	77.7	78.4	77.9	78	78.7	78	78	78.4	77.2	77.6	78.6	79.3
246	5	Kanta-Häme	2	71.3	70.8	73	73	71.8	72	73.8	74	73.6	73.3	75.1	74.2	75.1	74.8	74.6	74.8	75.7	76.3	76.9	76.9	76.8	77.1	77.4	77.4	78	78.3	78.6	79.6	78.6	78.2	79	79.3	79.1	79.1	80	80
246	6	Pirkanmaa	2	71	72.2	71.7	72.2	73	72.9	73	73.2	74.1	74	74.6	75.4	74.7	75.3	75.6	76.2	76.3	76	76.7	76.7	77.2	77.1	77.9	78.7	78.4	78.9	78.6	79.4	79.1	80	80.2	80.1	79.2	79.1	79.5	80.2
246	7	Päijät-Häme	2	69.8	71.1	70.9	71.1	72.3	71.3	71.7	72.5	72.4	73.4	73.6	74.2	74.5	74.6	75	74.5	75.8	74.9	75.8	75.7	75.9	76.6	76.4	77.9	77.4	79	78.3	78.6	77.6	79	78.7	77.9	78.7	77.4	78.5	79.1
246	8	Kymenlaakso	2	70.8	70.3	70.7	71.4	72.2	71.9	71.7	72	72.1	72.1	71.8	72.8	73.3	74.1	74.5	74.2	73.9	73.7	74.8	75.2	74.9	76.2	75.9	76.1	77.4	77.2	77.1	77.8	77.8	76.9	78.1	77.2	77.2	77.9	78.4	79.1
246	9	South Karelia	2	70.7	70.2	70.5	71.4	72.6	71.8	71.8	72.6	72.1	72.5	72.8	73.5	75	73.5	74.3	74.7	75.7	74.9	75.6	74.1	75.9	76	76.5	76.4	76.4	76.7	78.2	77.8	77.7	78	77.5	78.6	78.1	78.2	79	78.2
246	10	South Savo	2	69.9	70.2	70.7	71.1	73.2	72.4	71.9	72.5	73	72.8	73.7	73.8	74.2	73.8	74.6	74.3	75.2	75.8	74.5	75.1	75.3	76.4	75.5	76.6	76.3	76.2	77.1	77.2	77.4	77.8	78.1	77.8	76.7	78.8	78.8	77.4
246	11	North Savo	2	70.2	71.2	70.4	71.2	72	71.6	72.5	72.6	72.1	73.4	73.3	74.2	73.9	74	74.4	74.7	75.5	74.7	74.9	75.6	75.9	76.5	76	75.9	76.3	77.5	77.9	78	77.9	78.6	78.4	78	77.7	78.2	78.9	79.3
246	12	North Karelia	2	70.2	70.2	70.7	70.8	70.4	71.9	71.7	72.2	72.2	72.5	73.2	72.8	73.1	73.4	73.6	74	75.6	75.5	75	75.2	74.6	76.8	76.2	77	77.4	77.6	77.1	77.4	77.2	76.9	77.8	78.5	77.6	78.3	78.2	79
246	13	Central Finland	2	71.1	71.4	71.3	71.5	72.6	72.7	73.2	73.4	72.9	73.3	74.5	74	74.5	74.8	74.5	76.3	75.5	75.4	75.6	76.6	77.2	76.6	77.4	78.2	77.6	78.7	78.1	78.4	78.3	79.4	78.9	79.5	78	78.2	79.5	79.7
246	14	South Ostrobothnia	2	72	71.5	72.1	72	73.7	73.4	73.5	73.7	74	74.2	75.4	75	75.5	74.8	75.6	75.1	75.5	76.8	76.7	76.5	76.7	77.3	78.6	78.6	78	78.1	78.4	79	79.5	79.4	79.7	79.9	78.3	78.5	79.5	79.6
246	15	Ostrobothnia	2	73.7	74.6	75.1	74.6	75.3	75.9	76.6	76.4	76.5	76.5	77	77.8	77.6	77.7	77.7	77.6	77.8	79.1	78.3	79.3	80.3	80.6	80.1	79.8	80.3	80.5	80.6	80.1	81.1	81.4	80.8	81.5	80.8	80.4	81.6	81.5
246	16	Central Ostrobothnia	2	72.8	73.2	72.7	74.4	73.9	76.4	75	75.4	74.8	75.5	76.2	75.3	76.4	77.2	76.3	77.9	77.7	77	77	77.7	77.1	78.4	77.8	76.6	78.4	80.6	80.2	81.1	79.6	81.2	79.1	80.1	80.4	80.8	80.3	79.7
246	17	North Ostrobothnia	2	71.1	71.4	70.9	72.4	73	73.1	72.8	73.2	72.8	73.4	73.8	74.6	75.3	74.7	75	75.7	76.1	76	76.4	77	77.2	77	78.2	77.9	78.5	78.8	78.9	78.9	79.2	79.6	79	79.1	79.1	79.4	79.5	80.2
246	18	Kainuu	2	70.1	69.8	69.8	71	71.5	72.2	70.2	71.9	72.8	73	72	73.4	71.9	73.2	73.2	74.3	72.8	74	74.7	73.9	75.3	75.8	75	75.6	77.1	77.1	76.9	76.1	77.8	78.2	77.5	78	76.9	76.3	78.4	77.1
246	19	Lapland	2	69.8	69.5	70.3	71.3	71.2	71.6	72.3	72.6	72.3	72.8	73	73.4	73.8	73.5	74.7	75.4	74	75.3	73.9	75	76.1	76.1	77.1	77.1	77.8	78.4	77.1	77.7	78	78.9	78.2	78.3	78	78.2	79.5	79.6
246	21	Åland	2	74.6	73.2	74.1	75.2	74.8	75.3	72.9	75.5	77.6	75.4	78.4	77.4	79.1	77.2	76.2	78.8	79.3	79.3	81.7	79.5	81.1	79.7	77.4	79.2	81.3	80.8	78.5	81.4	80.9	81.6	80.2	82.5	81	82	81.6	82.6
