name	country_code	reg_code	location_type	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024	2025
Uusimaa	246	1	4	5005	7950	5437	8049	7797	9255	9545	10832	11427	10630	8371	8139	5280	3268	2450	5767	7709	8890	9866	8565	7384	9512	10981	11947	11795	10968	12680	13705	11724	15240	10124	7948	17391	25342	20747	15112
Southwest Finland	246	2	4	773	1161	941	931	1496	1833	1668	2023	2534	1977	1344	2016	1655	1264	824	1603	1870	1117	1598	1328	1763	1697	1572	1884	1768	1576	1836	2942	1938	1925	3027	3096	3952	6944	5640	4692
Satakunta	246	4	4	-620	-190	-312	-274	-889	-1013	-1290	-1196	-1104	-1321	-1424	-1021	-544	-302	-451	-491	-613	-600	-382	62	37	-66	144	174	45	-388	-320	-273	-647	-648	-55	124	-1	904	930	318
Kanta-Häme	246	5	4	844	813	456	222	-75	-234	-195	-27	-93	193	191	360	443	789	975	924	1443	1477	1482	695	816	615	318	302	11	-298	-445	-626	-680	179	397	371	215	1162	837	398
Pirkanmaa	246	6	4	1202	930	1129	1208	1267	1915	1810	1959	1978	2158	2480	3102	3043	2612	3036	2933	3136	3389	2728	2514	2406	2503	2549	2553	2579	2195	3005	2878	3392	3042	3545	4994	6636	8115	7170	4382
Päijät-Häme	246	7	4	478	396	45	-178	-447	-446	-622	-39	-117	-177	72	119	505	466	237	235	217	957	797	676	701	719	534	250	64	-65	689	236	162	-159	405	467	729	1413	1564	1194
Kymenlaakso	246	8	4	-218	289	118	-296	-717	-794	-606	-625	-388	-721	-641	-254	51	45	170	134	-375	-125	-202	297	279	-8	224	4	-292	-380	-220	-1011	-865	-1032	-430	-156	-300	701	280	180
South Karelia	246	9	4	-34	64	-284	-242	-316	-455	-356	-19	-388	-401	29	58	-58	57	-107	141	-70	-163	105	54	0	4	229	398	73	-71	45	70	-311	-84	110	178	297	951	890	169
South Savo	246	10	4	15	79	206	8	-474	-457	-684	-833	-1005	-1028	-767	-758	-631	-330	-241	-173	-348	-846	-455	-151	-76	-162	-114	-13	-12	-132	-192	-609	-1188	-986	-407	240	326	757	811	156
North Savo	246	11	4	-50	254	209	-75	-610	-744	-806	-1160	-1585	-1475	-1581	-957	-568	-351	-285	-942	-406	-284	-246	-98	-25	406	534	563	565	284	336	-304	-196	-262	386	1288	913	2008	1912	1053
North Karelia	246	12	4	-22	270	177	68	-320	-778	-1078	-1130	-1272	-1000	-707	-569	-635	-321	-227	-94	-620	-562	-257	-7	272	105	71	13	254	-30	-37	-271	36	-120	72	654	483	979	942	380
Central Finland	246	13	4	871	1032	407	143	37	-137	354	239	-92	40	355	699	122	719	670	141	54	535	704	481	364	487	524	-145	8	413	753	355	186	230	408	727	1068	2059	1722	513
South Ostrobothnia	246	14	4	-70	-60	-41	-171	-843	-1451	-1183	-1343	-1013	-897	-1226	-1191	-435	-110	68	-288	-208	162	-375	-125	10	177	106	-78	-424	-725	-504	-587	-669	-541	-299	264	205	930	414	495
Ostrobothnia	246	15	4	-330	3	78	-140	-432	-414	-307	-401	-417	-737	-450	-262	-275	-124	89	-66	227	383	661	604	290	852	210	480	395	294	-382	-388	-99	-317	-69	312	695	1670	1416	1006
Central Ostrobothnia	246	16	4	-213	-58	-45	32	-87	-575	-636	-472	-462	-679	-493	-591	-341	-296	-258	-43	-220	-18	-114	-156	-51	-96	-108	-141	-62	57	-186	-272	-396	-275	-152	-46	27	130	112	-64
North Ostrobothnia	246	17	4	-99	547	374	-146	-389	40	-574	-1072	-976	-479	775	401	-331	-385	467	295	-129	22	7	93	43	354	66	305	-74	-354	-235	-393	-361	117	388	1533	1105	1909	373	-287
Kainuu	246	18	4	-285	-433	-410	-401	-728	-784	-882	-1181	-1035	-900	-1071	-1109	-838	-515	-377	-576	-590	-376	-347	-286	-394	-445	-289	-420	-422	-418	-166	-390	-422	-296	-37	153	19	395	102	245
Lapland	246	19	4	-376	-169	-78	-344	-1343	-1439	-1472	-1918	-2766	-2498	-2742	-2550	-1443	-830	-536	-719	-821	-549	-361	-251	-312	-166	-295	-175	-487	-559	-68	-472	70	-601	186	572	493	1362	962	1088
Åland	246	21	4	210	139	92	-4	12	-57	21	73	149	93	69	170	221	99	173	205	88	177	248	253	224	333	177	147	237	74	234	234	291	83	215	186	110	183	227	203
Finland	246	246	0	7081	13017	8499	8390	2939	3265	2707	3710	3375	2778	2584	5802	5221	5755	6677	8986	10344	13586	15457	14548	13731	16821	17433	18048	16021	12441	16823	14824	11965	15495	17814	22905	34363	57914	47051	31233
