name	reg_code	age	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
Uusimaa	1	0	-65	9.4	-9.4	38	3.2	3	37.2	20.8	15.4	6.2	-31.2	-33.8	-38.8	-61	-69.8	-33	-21.6	-11	5.4	29	18	35	70.8	96.2	103.4	84.4	106.4	114.6	78.4	100.2	50.2	4.4	69.6	130.8	100
Uusimaa	1	1	-65	9.4	-9.4	38	3.2	3	37.2	20.8	15.4	6.2	-31.2	-33.8	-38.8	-61	-69.8	-33	-21.6	-11	5.4	29	18	35	70.8	96.2	103.4	84.4	106.4	114.6	78.4	100.2	50.2	4.4	69.6	130.8	100
Uusimaa	1	2	-65	9.4	-9.4	38	3.2	3	37.2	20.8	15.4	6.2	-31.2	-33.8	-38.8	-61	-69.8	-33	-21.6	-11	5.4	29	18	35	70.8	96.2	103.4	84.4	106.4	114.6	78.4	100.2	50.2	4.4	69.6	130.8	100
Uusimaa	1	3	-65	9.4	-9.4	38	3.2	3	37.2	20.8	15.4	6.2	-31.2	-33.8	-38.8	-61	-69.8	-33	-21.6	-11	5.4	29	18	35	70.8	96.2	103.4	84.4	106.4	114.6	78.4	100.2	50.2	4.4	69.6	130.8	100
Uusimaa	1	4	-65	9.4	-9.4	38	3.2	3	37.2	20.8	15.4	6.2	-31.2	-33.8	-38.8	-61	-69.8	-33	-21.6	-11	5.4	29	18	35	70.8	96.2	103.4	84.4	106.4	114.6	78.4	100.2	50.2	4.4	69.6	130.8	100
Uusimaa	1	5	-25.4	22.2	24.2	38.8	28.8	37	23.4	19.4	30.8	-5	-1.2	-12.6	-0.4	-26.6	-29	-17.2	-18.6	-10.2	16.2	14.2	13.2	17.4	26.8	37.8	47.8	39.6	51.8	78.6	68.2	63.6	60.4	12.2	87.2	158.4	129.6
Uusimaa	1	6	-25.4	22.2	24.2	38.8	28.8	37	23.4	19.4	30.8	-5	-1.2	-12.6	-0.4	-26.6	-29	-17.2	-18.6	-10.2	16.2	14.2	13.2	17.4	26.8	37.8	47.8	39.6	51.8	78.6	68.2	63.6	60.4	12.2	87.2	158.4	129.6
Uusimaa	1	7	-25.4	22.2	24.2	38.8	28.8	37	23.4	19.4	30.8	-5	-1.2	-12.6	-0.4	-26.6	-29	-17.2	-18.6	-10.2	16.2	14.2	13.2	17.4	26.8	37.8	47.8	39.6	51.8	78.6	68.2	63.6	60.4	12.2	87.2	158.4	129.6
Uusimaa	1	8	-25.4	22.2	24.2	38.8	28.8	37	23.4	19.4	30.8	-5	-1.2	-12.6	-0.4	-26.6	-29	-17.2	-18.6	-10.2	16.2	14.2	13.2	17.4	26.8	37.8	47.8	39.6	51.8	78.6	68.2	63.6	60.4	12.2	87.2	158.4	129.6
Uusimaa	1	9	-25.4	22.2	24.2	38.8	28.8	37	23.4	19.4	30.8	-5	-1.2	-12.6	-0.4	-26.6	-29	-17.2	-18.6	-10.2	16.2	14.2	13.2	17.4	26.8	37.8	47.8	39.6	51.8	78.6	68.2	63.6	60.4	12.2	87.2	158.4	129.6
